DATE,COUNTRY,SERIES,VALUE
1960,CHN,EX (% of GDP),4.30582953540576
1961,CHN,EX (% of GDP),3.87081067921772
1962,CHN,EX (% of GDP),4.05265875064533
1963,CHN,EX (% of GDP),4.00544740847553
1964,CHN,EX (% of GDP),3.76896387509354
1965,CHN,EX (% of GDP),3.63898500576701
1966,CHN,EX (% of GDP),3.4944670937682
1967,CHN,EX (% of GDP),3.27722661910601
1968,CHN,EX (% of GDP),3.3025629264377
1969,CHN,EX (% of GDP),3.04759963306493
1970,CHN,EX (% of GDP),2.49155590647892
1971,CHN,EX (% of GDP),2.78806626236314
1972,CHN,EX (% of GDP),3.24792352295878
1973,CHN,EX (% of GDP),4.24134678180103
1974,CHN,EX (% of GDP),4.92980160554514
1975,CHN,EX (% of GDP),4.70472117124527
1976,CHN,EX (% of GDP),4.51047313123201
1977,CHN,EX (% of GDP),4.29846153846154
1978,CHN,EX (% of GDP),4.55595414706769
1979,CHN,EX (% of GDP),5.16284335734386
1980,CHN,EX (% of GDP),5.91161214157888
1981,CHN,EX (% of GDP),7.44757798971743
1982,CHN,EX (% of GDP),11.0196293674193
1983,CHN,EX (% of GDP),9.51780053267791
1984,CHN,EX (% of GDP),9.52669262214982
1985,CHN,EX (% of GDP),8.33680172691235
1986,CHN,EX (% of GDP),8.71217788685542
1987,CHN,EX (% of GDP),12.4821345187692
1988,CHN,EX (% of GDP),14.3823208189665
1989,CHN,EX (% of GDP),11.8443293840918
1990,CHN,EX (% of GDP),13.6147101696208
1991,CHN,EX (% of GDP),14.4878781464611
1992,CHN,EX (% of GDP),15.658219676311
1993,CHN,EX (% of GDP),16.7022945503192
1994,CHN,EX (% of GDP),18.5367485700923
1995,CHN,EX (% of GDP),17.9510180778458
1996,CHN,EX (% of GDP),17.9232955521271
1997,CHN,EX (% of GDP),19.493164459713
1998,CHN,EX (% of GDP),18.3423215825108
1999,CHN,EX (% of GDP),18.1626961583414
2000,CHN,EX (% of GDP),20.8934448164694
2001,CHN,EX (% of GDP),20.3121457448267
2002,CHN,EX (% of GDP),22.64474567395
2003,CHN,EX (% of GDP),26.9807565341723
2004,CHN,EX (% of GDP),31.0613375826931
2005,CHN,EX (% of GDP),33.8298575661779
2006,CHN,EX (% of GDP),36.0350255522634
2007,CHN,EX (% of GDP),35.4348016404715
2008,CHN,EX (% of GDP),32.6027153223964
2009,CHN,EX (% of GDP),24.7498590447203
2010,CHN,EX (% of GDP),27.1853298044799
2011,CHN,EX (% of GDP),26.5681882847529
2012,CHN,EX (% of GDP),25.4925200219095
2013,CHN,EX (% of GDP),24.599255662746
2014,CHN,EX (% of GDP),23.5937400657372
2015,CHN,EX (% of GDP),21.4432735618692
2016,CHN,EX (% of GDP),19.7520048556821
2017,CHN,EX (% of GDP),19.9629564697161
2018,CHN,EX (% of GDP),19.5148403052145
2019,CHN,EX (% of GDP),
1960,CHN,EX (BOP US$),
1961,CHN,EX (BOP US$),
1962,CHN,EX (BOP US$),
1963,CHN,EX (BOP US$),
1964,CHN,EX (BOP US$),
1965,CHN,EX (BOP US$),
1966,CHN,EX (BOP US$),
1967,CHN,EX (BOP US$),
1968,CHN,EX (BOP US$),
1969,CHN,EX (BOP US$),
1970,CHN,EX (BOP US$),
1971,CHN,EX (BOP US$),
1972,CHN,EX (BOP US$),
1973,CHN,EX (BOP US$),
1974,CHN,EX (BOP US$),
1975,CHN,EX (BOP US$),
1976,CHN,EX (BOP US$),
1977,CHN,EX (BOP US$),
1978,CHN,EX (BOP US$),
1979,CHN,EX (BOP US$),
1980,CHN,EX (BOP US$),
1981,CHN,EX (BOP US$),
1982,CHN,EX (BOP US$),23637000000
1983,CHN,EX (BOP US$),23186000000
1984,CHN,EX (BOP US$),26716000000
1985,CHN,EX (BOP US$),28163000000
1986,CHN,EX (BOP US$),29583000000
1987,CHN,EX (BOP US$),39171000000
1988,CHN,EX (BOP US$),45912000000
1989,CHN,EX (BOP US$),47823000000
1990,CHN,EX (BOP US$),57374000000
1991,CHN,EX (BOP US$),65898000000
1992,CHN,EX (BOP US$),78817000000
1993,CHN,EX (BOP US$),86852000000
1994,CHN,EX (BOP US$),119181000000
1995,CHN,EX (BOP US$),147239990000
1996,CHN,EX (BOP US$),171678000000
1997,CHN,EX (BOP US$),140533000000
1998,CHN,EX (BOP US$),141364000000
1999,CHN,EX (BOP US$),149884000000
2000,CHN,EX (BOP US$),190039384000
2001,CHN,EX (BOP US$),208572000000
2002,CHN,EX (BOP US$),247626456545.448
2003,CHN,EX (BOP US$),445976206260.613
2004,CHN,EX (BOP US$),604774713079.717
2005,CHN,EX (BOP US$),773339005396.985
2006,CHN,EX (BOP US$),991731387760.491
2007,CHN,EX (BOP US$),1257052625429.69
2008,CHN,EX (BOP US$),1495317001221.66
2009,CHN,EX (BOP US$),1249723531706.78
2010,CHN,EX (BOP US$),1603944171443.28
2011,CHN,EX (BOP US$),2008852448487.47
2012,CHN,EX (BOP US$),2175092012376.37
2013,CHN,EX (BOP US$),2355594737798.11
2014,CHN,EX (BOP US$),2462902030661.11
2015,CHN,EX (BOP US$),2360152452309.1
2016,CHN,EX (BOP US$),2197922469129.56
2017,CHN,EX (BOP US$),2429277356205.39
2018,CHN,EX (BOP US$),2651009602168.9
2019,CHN,EX (BOP US$),
1960,CHN,IM (% of GDP),4.42827018570165
1961,CHN,IM (% of GDP),3.48941004625497
1962,CHN,IM (% of GDP),2.9082774049217
1963,CHN,IM (% of GDP),2.85988944965153
1964,CHN,IM (% of GDP),2.86414041771549
1965,CHN,IM (% of GDP),3.18915801614764
1966,CHN,IM (% of GDP),3.23502938529147
1967,CHN,IM (% of GDP),2.97625682755546
1968,CHN,IM (% of GDP),2.91841064159165
1969,CHN,IM (% of GDP),2.40546325552951
1970,CHN,IM (% of GDP),2.46085011185682
1971,CHN,IM (% of GDP),2.13276893646465
1972,CHN,IM (% of GDP),2.5074439742987
1973,CHN,IM (% of GDP),3.75879834554822
1974,CHN,IM (% of GDP),5.4036849736535
1975,CHN,IM (% of GDP),4.8494818226682
1976,CHN,IM (% of GDP),4.32644047380044
1977,CHN,IM (% of GDP),4.08615384615385
1978,CHN,IM (% of GDP),5.09418739355899
1979,CHN,IM (% of GDP),5.92373477325849
1980,CHN,IM (% of GDP),6.51323638607585
1981,CHN,IM (% of GDP),7.4496039902587
1982,CHN,IM (% of GDP),8.67333893776168
1983,CHN,IM (% of GDP),8.40330217864287
1984,CHN,IM (% of GDP),9.50591911770801
1985,CHN,IM (% of GDP),12.3760532855031
1986,CHN,IM (% of GDP),11.1693020665084
1987,CHN,IM (% of GDP),12.3755305590728
1988,CHN,IM (% of GDP),15.6824497735417
1989,CHN,IM (% of GDP),13.2613658201336
1990,CHN,IM (% of GDP),10.6584219385709
1991,CHN,IM (% of GDP),11.4618459598733
1992,CHN,IM (% of GDP),14.4874967792173
1993,CHN,IM (% of GDP),19.353783317961
1994,CHN,IM (% of GDP),17.2330664184822
1995,CHN,IM (% of GDP),16.3230779490987
1996,CHN,IM (% of GDP),15.8914499144708
1997,CHN,IM (% of GDP),15.039852899528
