dates,codes,values
1960,EU NT,
1961,EU NT,
1962,EU NT,
1963,EU NT,
1964,EU NT,
1965,EU NT,
1966,EU NT,
1967,EU NT,
1968,EU NT,
1969,EU NT,
1970,EU NT,
1971,EU NT,
1972,EU NT,
1973,EU NT,
1974,EU NT,
1975,EU NT,
1976,EU NT,
1977,EU NT,
1978,EU NT,
1979,EU NT,
1980,EU NT,
1981,EU NT,
1982,EU NT,
1983,EU NT,
1984,EU NT,
1985,EU NT,
1986,EU NT,
1987,EU NT,
1988,EU NT,
1989,EU NT,
1990,EU NT,
1991,EU NT,
1992,EU NT,
1993,EU NT,
1994,EU NT,
1995,EU NT,
1996,EU NT,
1997,EU NT,
1998,EU NT,
1999,EU NT,60002.4336305219
2000,EU NT,7216.6065393703
2001,EU NT,57838.2266800928
2002,EU NT,132119.725760677
2003,EU NT,138124.835877502
2004,EU NT,159718.826097642
2005,EU NT,106399.015771787
2006,EU NT,75348.8091790387
2007,EU NT,133661.208992712
2008,EU NT,27292.2027671875
2009,EU NT,121378.590108652
2010,EU NT,99337.189995815
2011,EU NT,112558.82517245
2012,EU NT,256775.31862505
2013,EU NT,369744.359899737
2014,EU NT,421234.831961622
2015,EU NT,440559.899796413
2016,EU NT,448992.227426943
2017,EU NT,477692.776755157
2018,EU NT,483094.018843371
1960,CHN NT,
1961,CHN NT,
1962,CHN NT,
1963,CHN NT,
1964,CHN NT,
1965,CHN NT,
1966,CHN NT,
1967,CHN NT,
1968,CHN NT,
1969,CHN NT,
1970,CHN NT,
1971,CHN NT,
1972,CHN NT,
1973,CHN NT,
1974,CHN NT,
1975,CHN NT,
1976,CHN NT,
1977,CHN NT,
1978,CHN NT,
1979,CHN NT,
1980,CHN NT,
1981,CHN NT,
1982,CHN NT,4737
1983,CHN NT,2475
1984,CHN NT,-32
1985,CHN NT,-12592
1986,CHN NT,-7589
1987,CHN NT,291
1988,CHN NT,-4060
1989,CHN NT,-4927
1990,CHN NT,10668
1991,CHN NT,11601
1992,CHN NT,4998
1993,CHN NT,-11497
1994,CHN NT,7611
1995,CHN NT,11957.59
1996,CHN NT,17551
1997,CHN NT,42824
1998,CHN NT,43837
1999,CHN NT,30641
2000,CHN NT,28873.534
2001,CHN NT,28084
2002,CHN NT,37383.0876640194
2003,CHN NT,35821.1290662935
2004,CHN NT,51174.38253995
2005,CHN NT,124626.797517211
2006,CHN NT,208918.924500594
2007,CHN NT,308036.028783353
2008,CHN NT,348832.533153933
2009,CHN NT,220130.401366781
2010,CHN NT,223023.8717128
2011,CHN NT,181903.738912674
2012,CHN NT,231844.876748002
2013,CHN NT,235379.561604117
2014,CHN NT,221299.246947273
2015,CHN NT,357870.764281273
2016,CHN NT,255737.088242151
2017,CHN NT,217009.899933947
2018,CHN NT,102921.464809831
1960,SA NT,377.99984895126
1961,SA NT,639.799744336022
1962,SA NT,743.399702937478
1963,SA NT,510.999795804481
1964,SA NT,198.799920559552
1965,SA NT,-121.799951328739
1966,SA NT,264.599894265882
1967,SA NT,47.5999809790478
1968,SA NT,449.399820419832
1969,SA NT,89.5999641958541
1970,SA NT,-632.799747133221
1971,SA NT,-829.604304769884
1972,SA NT,518.444007958403
1973,SA NT,723.921400116415
1974,SA NT,-190.48769462474
1975,SA NT,-894.814876328007
1976,SA NT,-433.549999623001
1977,SA NT,1974.549998283
1978,SA NT,3045.199997352
1979,SA NT,5279.0061376956
1980,SA NT,6358.42858016809
1981,SA NT,-1503.66948811725
1982,SA NT,-414.507442485885
1983,SA NT,3232.19715015387
1984,SA NT,1297.53647208378
1985,SA NT,5034.12684197369
1986,SA NT,5763.51236557823
1987,SA NT,8502.84017883518
1988,SA NT,5977.05177305472
1989,SA NT,5082.55454273236
1990,SA NT,6143.18471359131
1991,SA NT,5123.8064300296
1992,SA NT,5286.45856415008
1993,SA NT,6102.06802755895
1994,SA NT,3060.67685704778
1995,SA NT,1027.22736463047
1996,SA NT,2192.2386776261
1997,SA NT,1710.20703030467
1998,SA NT,1729.66535252923
1999,SA NT,3459.74000211658
2000,SA NT,3920.38407399068
2001,SA NT,4867.80494998357
2002,SA NT,4362.35287509929
2003,SA NT,4046.56661860654
2004,SA NT,-410.368408651926
2005,SA NT,-633.341903451609
2006,SA NT,-4554.99980868251
2007,SA NT,-3976.4368975431
2008,SA NT,-4946.23045296854
2009,SA NT,1477.37676069022
2010,SA NT,4781.75655735874
2011,SA NT,3441.60285118199
2012,SA NT,-5717.9260074331
2013,SA NT,-8468.212095947
2014,SA NT,-5312.05482548137
2015,SA NT,-4120.68043028683
2016,SA NT,1640.3084135682
2017,SA NT,4457.54813306864
2018,SA NT,1158.44242353981
1961,EU GDP G,5.53603937779381
1962,EU GDP G,4.97907401839403
1963,EU GDP G,5.57915475682185
1964,EU GDP G,5.7227120629727
1965,EU GDP G,4.27495248223882
1966,EU GDP G,4.19838885052009
1967,EU GDP G,4.68377778197046
1968,EU GDP G,5.50048358098374
1969,EU GDP G,5.80353571274318
1970,EU GDP G,5.04342908286077
