date,code,rate
1997/03/31,SA REER,150.593546581174
1997/06/30,SA REER,155.632031936576
1997/09/30,SA REER,155.530293127824
1997/12/31,SA REER,152.499659936101
1998/03/31,SA REER,155.086228723415
1998/06/30,SA REER,149.431498471086
1998/09/30,SA REER,129.212808298978
1998/12/31,SA REER,135.387165305935
1999/03/31,SA REER,131.828675869697
1999/06/30,SA REER,134.612654320943
1999/09/30,SA REER,135.220882038149
1999/12/31,SA REER,134.215960097334
2000/03/31,SA REER,134.759078345224
2000/06/30,SA REER,130.101938357048
2000/09/30,SA REER,131.793438095836
2000/12/31,SA REER,125.102514326187
2001/03/31,SA REER,121.500619092438
2001/06/30,SA REER,123.033206734024
2001/09/30,SA REER,117.424962355024
2001/12/31,SA REER,97.6405809510596
2002/03/31,SA REER,89.9539211042208
2002/06/30,SA REER,99.7976342726616
2002/09/30,SA REER,99.3918018247063
2002/12/31,SA REER,110.150328866837
2003/03/31,SA REER,123.407746928052
2003/06/30,SA REER,128.603262222672
2003/09/30,SA REER,133.498080858969
2003/12/31,SA REER,138.345879683705
2004/03/31,SA REER,133.016717354758
2004/06/30,SA REER,139.610152508791
2004/09/30,SA REER,143.229156831378
2004/12/31,SA REER,145.590740179228
2005/03/31,SA REER,145.247351807817
2005/06/30,SA REER,138.516542689635
2005/09/30,SA REER,138.93753737489
2005/12/31,SA REER,140.313658593361
2006/03/31,SA REER,147.538559800946
2006/06/30,SA REER,138.082581841154
2006/09/30,SA REER,125.346153004419
2006/12/31,SA REER,122.11941204519
2007/03/31,SA REER,122.482480569739
2007/06/30,SA REER,123.389090644905
2007/09/30,SA REER,123.09992571187
2007/12/31,SA REER,126.169178446132
2008/03/31,SA REER,112.855165974877
2008/06/30,SA REER,108.201499386162
2008/09/30,SA REER,113.33340491422
2008/12/31,SA REER,98.3825612594497
2009/03/31,SA REER,101.442744035088
2009/06/30,SA REER,118.031925182891
2009/09/30,SA REER,125.389716057293
2009/12/31,SA REER,127.351848669108
2010/03/31,SA REER,130.319774021345
2010/06/30,SA REER,134.179974160778
2010/09/30,SA REER,137.030326486767
2010/12/31,SA REER,139.818182713219
2011/03/31,SA REER,136.794895189314
2011/06/30,SA REER,138.522280065429
2011/09/30,SA REER,133.727431130175
2011/12/31,SA REER,122.415919520211
2012/03/31,SA REER,129.146800747738
2012/06/30,SA REER,126.218381569396
2012/09/30,SA REER,125.452217932693
2012/12/31,SA REER,118.572506549936
2013/03/31,SA REER,115.883604412144
2013/06/30,SA REER,111.568222533716
2013/09/30,SA REER,107.729620917777
2013/12/31,SA REER,105.255730876726
