YEAR,TOT
1960,-66.31334989
1961,-75.38219786
1962,-87.10011722
1963,-99.66885778
1964,-100.3415177
1965,-111.7523658
1966,-112.9526322
1967,-113.0589178
1968,-106.1139535
1969,-104.5309083
1970,-119.490668
1971,-114.878687
1972,-91.70085824
1973,-46.55509481
1974,-18.44336162
1975,-41.48119927
1976,-69.87779393
1977,-64.87340403
1978,-61.65180601
1979,-48.00867963
1980,-10.745128
1981,-51.57132827
1982,-77.92501182
1983,-72.94993404
1984,-58.56086671
1985,-61.73895385
1986,-53.37607823
1987,-41.7907341
1988,-53.55590992
1989,-70.75782527
1990,-77.19464733
1991,-76.16067311
1992,-83.61998797
1993,-95.2414112
1994,-97.88404679
1995,-118.5318626
1996,-106.7769306
1997,-119.2321061
1998,-129.9064746
1999,-148.6339526
2000,-172.412286
2001,-171.1215482
2002,-160.205261
2003,-138.7328761
2004,-132.5320771
2005,-133.4901336
2006,-111.0147852
2007,-97.2603811
2008,-91.09053201
2009,-41.04854414
2010
2011,50.97289812
2012,16.19904486
2013,4.693812141
2014,-8.954603839
2015,16.42008219
2016,32.36465424
2017,74.23427953
2018,50.12476791
